stick_id,member_id,member_group,lane,piece_index,s0_mm,s1_mm,cut_length_mm,x0_mm,y0_mm,z0_mm,x1_mm,y1_mm,z1_mm,N_piece_N,sigma_axial_piece_MPa,member_state,mass_g
M131-L02-P03,131,diagonal,2,3,180.0,241.66091947189145,61.66091947189145,774.4845299742132,85.0,163.86596594326883,800.0,85.0,220.0,38.02267283933385,3.6212069370794144,tension,0.7193773938387336
M131-L03-P01,131,diagonal,3,1,0.0,120.0,120.0,700.0,85.0,0.0,749.656353316142,85.0,109.24397729551256,38.02267283933385,3.6212069370794144,tension,1.4
M131-L03-P02,131,diagonal,3,2,90.0,210.0,120.0,737.2422649871065,85.0,81.93298297163442,786.8986183032487,85.0,191.176960267147,38.02267283933385,3.6212069370794144,tension,1.4
M131-L03-P03,131,diagonal,3,3,180.0,241.66091947189145,61.66091947189145,774.4845299742132,85.0,163.86596594326883,800.0,85.0,220.0,38.02267283933385,3.6212069370794144,tension,0.7193773938387336
M132-L01-P01,132,chord_lacing,1,1,0.0,120.0,120.0,700.0,85.0,0.0,749.656353316142,85.0,109.24397729551256,38.02267283933385,3.6212069370794144,tension,1.4
M132-L01-P02,132,chord_lacing,1,2,90.0,210.0,120.0,737.2422649871065,85.0,81.93298297163442,786.8986183032487,85.0,191.176960267147,38.02267283933385,3.6212069370794144,tension,1.4
M132-L01-P03,132,chord_lacing,1,3,180.0,241.66091947189145,61.66091947189145,774.4845299742132,85.0,163.86596594326883,800.0,85.0,220.0,38.02267283933385,3.6212069370794144,tension,0.7193773938387336
M133-L01-P01,133,diagonal,1,1,0.0,120.0,120.0,800.0,85.0,0.0,857.4622556816688,85.0,105.34746874972612,22.015798155688714,2.096742681494163,tension,1.4
M133-L01-P02,133,diagonal,1,2,90.0,208.83273476902778,118.83273476902778,843.0966917612516,85.0,79.0106015622946,900.0,85.0,183.33333333333331,22.015798155688714,2.096742681494163,tension,1.3863819056386573
M133-L02-P01,133,diagonal,2,1,0.0,120.0,120.0,800.0,85.0,0.0,857.4622556816688,85.0,105.34746874972612,22.015798155688714,2.096742681494163,tension,1.4
M133-L02-P02,133,diagonal,2,2,90.0,208.83273476902778,118.83273476902778,843.0966917612516,85.0,79.0106015622946,900.0,85.0,183.33333333333331,22.015798155688714,2.096742681494163,tension,1.3863819056386573
M133-L03-P01,133,diagonal,3,1,0.0,120.0,120.0,800.0,85.0,0.0,857.4622556816688,85.0,105.34746874972612,22.015798155688714,2.096742681494163,tension,1.4
M133-L03-P02,133,diagonal,3,2,90.0,208.83273476902778,118.83273476902778,843.0966917612516,85.0,79.0106015622946,900.0,85.0,183.33333333333331,22.015798155688714,2.096742681494163,tension,1.3863819056386573
M134-L01-P01,134,chord_lacing,1,1,0.0,120.0,120.0,800.0,85.0,0.0,857.4622556816688,85.0,105.34746874972612,22.015798155688714,2.096742681494163,tension,1.4
M134-L01-P02,134,chord_lacing,1,2,90.0,208.83273476902778,118.83273476902778,843.0966917612516,85.0,79.0106015622946,900.0,85.0,183.33333333333331,22.015798155688714,2.096742681494163,tension,1.3863819056386573
