blank_stick_index,cuts_mm,n_cuts,used_length_mm_including_kerf,waste_length_mm
608,100.0,1,100.0,20.0
609,100.0,1,100.0,20.0
610,100.0,1,100.0,20.0
611,100.0,1,100.0,20.0
612,100.0,1,100.0,20.0
613,100.0,1,100.0,20.0
614,100.0,1,100.0,20.0
615,100.0,1,100.0,20.0
616,100.0,1,100.0,20.0
617,100.0,1,100.0,20.0
618,100.0,1,100.0,20.0
619,100.0,1,100.0,20.0
620,100.0,1,100.0,20.0
621,100.0,1,100.0,20.0
622,100.0,1,100.0,20.0
623,100.0,1,100.0,20.0
624,100.0,1,100.0,20.0
625,100.0,1,100.0,20.0
626,100.0,1,100.0,20.0
627,100.0,1,100.0,20.0
628,100.0,1,100.0,20.0
629,100.0,1,100.0,20.0
630,100.0,1,100.0,20.0
631,100.0,1,100.0,20.0
632,100.0,1,100.0,20.0
633,100.0,1,100.0,20.0
634,100.0,1,100.0,20.0
635,100.0,1,100.0,20.0
636,100.0,1,100.0,20.0
637,100.0,1,100.0,20.0
638,100.0,1,100.0,20.0
639,100.0,1,100.0,20.0
640,100.0,1,100.0,20.0
641,100.0,1,100.0,20.0
642,100.0,1,100.0,20.0
643,100.0,1,100.0,20.0
644,100.0,1,100.0,20.0
645,100.0,1,100.0,20.0
646,100.0,1,100.0,20.0
647,100.0,1,100.0,20.0
648,100.0,1,100.0,20.0
649,100.0,1,100.0,20.0
650,100.0,1,100.0,20.0
651,100.0,1,100.0,20.0
652,100.0,1,100.0,20.0
653,100.0,1,100.0,20.0
654,100.0,1,100.0,20.0
655,100.0,1,100.0,20.0
656,100.0,1,100.0,20.0
657,100.0,1,100.0,20.0
658,100.0,1,100.0,20.0
659,100.0,1,100.0,20.0
660,100.0,1,100.0,20.0
661,100.0,1,100.0,20.0
662,100.0,1,100.0,20.0
663,100.0,1,100.0,20.0
664,100.0,1,100.0,20.0
665,100.0,1,100.0,20.0
666,100.0,1,100.0,20.0
667,100.0,1,100.0,20.0
668,100.0,1,100.0,20.0
669,100.0,1,100.0,20.0
670,100.0,1,100.0,20.0
671,100.0,1,100.0,20.0
672,100.0,1,100.0,20.0
673,100.0,1,100.0,20.0
674,100.0,1,100.0,20.0
675,100.0,1,100.0,20.0
676,100.0,1,100.0,20.0
677,100.0,1,100.0,20.0
678,100.0,1,100.0,20.0
679,100.0,1,100.0,20.0
680,100.0,1,100.0,20.0
681,100.0,1,100.0,20.0
682,100.0,1,100.0,20.0
683,100.0,1,100.0,20.0
684,100.0,1,100.0,20.0
685,100.0,1,100.0,20.0
686,100.0,1,100.0,20.0
687,100.0,1,100.0,20.0
688,100.0,1,100.0,20.0
689,100.0,1,100.0,20.0
690,100.0,1,100.0,20.0
691,100.0,1,100.0,20.0
692,100.0,1,100.0,20.0
693,98.0,1,98.02877548915689,21.971224510843115
694,98.0,1,98.02877548915689,21.971224510843115
695,98.0,1,98.02877548915689,21.971224510843115
696,98.0,1,98.02877548915689,21.971224510843115
697,98.0,1,98.02877548915689,21.971224510843115
698,98.0,1,98.02877548915689,21.971224510843115
699,98.0,1,98.02877548915689,21.971224510843115
700,98.0,1,98.02877548915689,21.971224510843115
701,98.0,1,98.02877548915689,21.971224510843115
702,98.0,1,98.02877548915689,21.971224510843115
703,95.1,1,95.14258769331755,24.85741230668245
704,95.1,1,95.14258769331755,24.85741230668245
705,95.1,1,95.14258769331755,24.85741230668245
706,95.1,1,95.14258769331755,24.85741230668245
707,95.1,1,95.14258769331752,24.857412306682477
708,95.1,1,95.14258769331752,24.857412306682477
709,95.1,1,95.14258769331752,24.857412306682477
710,95.1,1,95.14258769331752,24.857412306682477
711,93.3,1,93.33333333333334,26.666666666666657
712,93.3,1,93.33333333333334,26.666666666666657
713,93.3,1,93.33333333333334,26.666666666666657
714,93.3,1,93.33333333333334,26.666666666666657
715,93.3,1,93.33333333333334,26.666666666666657
716,93.3,1,93.33333333333334,26.666666666666657
717,93.3,1,93.33333333333331,26.666666666666686
718,93.3,1,93.33333333333331,26.666666666666686
719,93.3,1,93.33333333333331,26.666666666666686
720,93.3,1,93.33333333333331,26.666666666666686
721,93.3,1,93.33333333333331,26.666666666666686
722,93.3,1,93.33333333333331,26.666666666666686
723,87.5,1,87.5136927425913,32.4863072574087
724,87.5,1,87.5136927425913,32.4863072574087
725,87.5,1,87.5136927425913,32.4863072574087
726,87.5,1,87.5136927425913,32.4863072574087
727,87.5,1,87.5136927425913,32.4863072574087
728,87.5,1,87.5136927425913,32.4863072574087
729,87.5,1,87.5136927425913,32.4863072574087
730,87.5,1,87.5136927425913,32.4863072574087
731,87.5,1,87.5136927425913,32.4863072574087
732,87.5,1,87.5136927425913,32.4863072574087
733,87.5,1,87.5136927425913,32.4863072574087
734,87.5,1,87.5136927425913,32.4863072574087
735,87.5,1,87.5136927425913,32.4863072574087
736,87.5,1,87.5136927425913,32.4863072574087
737,87.5,1,87.5136927425913,32.4863072574087
738,87.5,1,87.5136927425913,32.4863072574087
739,80.0;34.0,2,115.0071682515885,4.992831748411504
740,80.0;34.0,2,115.0071682515885,4.992831748411504
741,80.0;34.0,2,115.0071682515885,4.992831748411504
742,80.0;34.0,2,115.0071682515885,4.992831748411504
743,80.0;34.0,2,115.0071682515885,4.992831748411504
744,80.0;34.0,2,115.0071682515885,4.992831748411504
745,80.0;34.0,2,115.0071682515885,4.992831748411504
746,80.0;34.0,2,115.0071682515885,4.992831748411504
747,80.0;34.0,2,115.0071682515885,4.992831748411504
748,80.0;34.0,2,115.0071682515885,4.992831748411504
749,80.0;34.0,2,115.0071682515885,4.992831748411504
750,80.0;34.0,2,115.0071682515885,4.992831748411504
751,80.0;34.0,2,115.0071682515885,4.992831748411504
752,80.0;34.0,2,115.0071682515885,4.992831748411504
753,80.0;34.0,2,115.0071682515885,4.992831748411504
754,80.0;34.0,2,115.0071682515885,4.992831748411504
755,80.0;34.0,2,115.00716825158848,4.992831748411518
756,80.0;34.0,2,115.00716825158848,4.992831748411518
757,80.0;34.0,2,115.00716825158848,4.992831748411518
758,80.0;34.0,2,115.00716825158848,4.992831748411518
759,80.0;34.0,2,115.00716825158848,4.992831748411518
