member_id,group,role,n_lanes_sticks,pieces_per_lane,total_piece_count,member_length_mm,layout,section_A_mm2,section_Iy_mm4,section_Iz_mm4,section_J_mm4_est,radius_y_mm,radius_z_mm,slenderness_y,slenderness_z,N_member_N,N_per_lane_N,sigma_axial_member_MPa,sigma_axial_piece_MPa,M_imperfection_Nmm,sigma_bending_est_MPa,sigma_combined_est_MPa,glue_area_total_mm2,glue_mass_est_g,FS_min_global,FS_min_global_label,FS_min_glue,FS_min_glue_label,governing_mode_global,report_mode_global,suggested_action
26,top_chord,primary,5,1,5,106.51030205780306,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,14.455057431814657,13.707059966031728,-196.0315777525748,-39.20631555051496,-3.7339348143347584,-3.733934814334758,392.0631555051496,1.8358861762881153,7.020518738475791,0.0,0.0,1.3757113935000085,1.376,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
27,bottom_chord,primary,4,1,4,100.0,stacked,42.0,126.0,171.5,104.125,1.7320508075688772,2.0207259421636903,57.73502691896258,49.48716593053935,-5.595524044110789e-13,-1.3988810110276972e-13,-1.3322676295501878e-14,-1.3322676295501878e-14,1.1191048088221578e-12,2.6645352591003757e-14,6.280690253593743e-14,0.0,0.0,385569427097842.56,385569427097842.562,,sem solicitação,compression_direct,compression_direct,manter
28,top_chord,primary,5,1,5,100.0,box,52.5,1824.24375,2028.775,1348.5565625,5.894701010229442,6.216376221990858,13.571511067511485,12.86923396254469,0.1806336497977623,0.03612672995955246,0.003440640948528806,0.003440640948528806,0.0,0.0,0.003440640948528806,0.0,0.0,19544.497960112272,19544.498,,sem solicitação,tension_capacity,tension_capacity,manter
29,vertical,primary,3,1,3,73.33333333333333,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,56.4520263207634,36.29058834906218,-0.056911527611472085,-0.018970509203824027,-0.001806715162268955,-0.001806715162268955,0.11382305522294417,0.00481790709938388,0.0097218482541139,0.0,0.0,2843.1801392620287,2843.180,,sem solicitação,compression_direct,compression_direct,manter
30,vertical,primary,3,1,3,73.33333333333333,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,56.4520263207634,36.29058834906218,-236.46498335506294,-78.82166111835431,-7.5068248684146965,-7.5068248684146965,472.9299667101259,20.018199649105856,40.39386714908861,0.0,0.0,0.6842862004520784,0.684,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
31,vertical,primary,3,1,3,110.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,84.6780394811451,54.435882523593285,-151.78024778667293,-50.59341592889098,-4.818420564656283,-4.818420564656283,303.56049557334586,12.849121505750091,25.927691609817145,0.0,0.0,1.066078935563628,1.066,,sem solicitação,compression_direct,compression_direct,reforçar: adicionar palitos contínuos ou aumentar sobreposição/talas
32,vertical,primary,3,2,6,146.66666666666669,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,112.90405264152683,72.58117669812438,-108.86803802707443,-36.28934600902481,-3.4561281913356963,-3.4561281913356963,217.73607605414887,9.216341843561857,18.597261220044462,630.0,0.15507692307692308,1.3441325281994922,1.344,10.126939182332091,10.127,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
33,vertical,primary,3,2,6,183.33333333333334,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,141.13006580190853,90.72647087265548,-83.86406122416996,-27.95468707472332,-2.6623511499736496,-2.6623511499736496,167.72812244833992,7.099603066596399,14.325984759382019,630.0,0.15507692307692308,1.1167258560668991,1.117,13.146274863233728,13.146,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
34,vertical,primary,3,3,9,220.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,169.3560789622902,108.87176504718657,-67.58029935488204,-22.52676645162735,-2.145406328726414,-2.145406328726414,135.1605987097641,5.721083543270438,11.544329292670703,1260.0,0.31015384615384617,0.9623650849620562,0.962,16.313925959553398,16.314,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
35,vertical,primary,3,3,9,220.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,169.3560789622902,108.87176504718657,-121.1609464208465,-40.386982140282164,-3.8463792514554442,-3.8463792514554442,242.321892841693,10.25701133721452,20.69718359116501,1260.0,0.31015384615384617,0.5367812191274881,0.537,9.09946672230936,9.099,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
36,vertical,primary,3,3,9,220.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,169.3560789622902,108.87176504718657,-76.86736683339021,-25.622455611130068,-2.4402338677266733,-2.4402338677266733,153.73473366678041,6.507290313937795,13.13078224062448,1260.0,0.31015384615384617,0.8460927336224433,0.846,14.342887566184825,14.343,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
37,vertical,primary,3,3,9,220.0,stacked,31.5,53.15625,128.625,63.623437499999994,1.299038105676658,2.0207259421636903,169.3560789622902,108.87176504718657,-109.44113319203773,-36.480377730679244,-3.474321688636118,-3.4743216886361186,218.88226638407545,9.264857836362982,18.69515956266102,1260.0,0.31015384615384617,0.5942639539038869,0.594,10.07390884801448,10.074,buckling_y,buckling_y,"reforçar: aumentar inércia, usar seção caixa/espaçada ou reduzir comprimento livre"
