node_id,x,y,z,Ux_mm,Uy_mm,Uz_mm,Rx_N,Ry_N,Rz_N,support_active_vertical
19,300.0,85.0,0.0,0.16051361816005444,0.05005424972545825,-2.262855277006197,0.0,0.0,0.0,False
20,300.0,85.0,183.33333333333334,0.9397611776096919,0.017451736980259664,-2.335269701482331,0.0,0.0,0.0,False
21,400.0,-85.0,0.0,0.3501488581808606,0.04565339263932811,-2.782610369108219,0.0,0.0,0.0,False
22,400.0,-85.0,220.0,0.9506217254867498,-0.005752422718958677,-2.8612752678281876,0.0,0.0,0.0,False
23,400.0,85.0,0.0,0.29915947708166485,0.04121117428377547,-2.759731183024702,0.0,0.0,0.0,False
24,400.0,85.0,220.0,0.972609774868581,0.01848549259904998,-2.83019173644661,0.0,0.0,0.0,False
25,500.0,-85.0,0.0,0.5098326689568421,0.026312082248363424,-3.2218447379557458,0.0,0.0,0.0,False
26,500.0,-85.0,220.0,0.802895149606684,-0.012636635877361375,-3.3628786438424454,0.0,0.0,0.0,False
27,500.0,85.0,0.0,0.4553499223797658,0.029325180130478173,-3.2114772062216876,0.0,0.0,0.0,False
28,500.0,85.0,220.0,0.8294292186166563,0.019982520772945874,-3.338869114190369,0.0,0.0,0.0,False
29,600.0,-85.0,0.0,0.6918922045093495,0.0016520367950390398,-3.470936789736565,0.0,0.0,0.0,False
30,600.0,-85.0,220.0,0.6500640734754486,-0.013377717563647735,-3.5604120315532097,0.0,0.0,0.0,False
31,600.0,85.0,0.0,0.6368490888933219,-0.001490913873711149,-3.470929329391563,0.0,0.0,0.0,False
32,600.0,85.0,220.0,0.6786774240041349,0.01352006946004998,-3.5604046301451717,0.0,0.0,0.0,False
33,700.0,-85.0,0.0,0.8733918068893094,-0.02916407201618304,-3.211484775458615,0.0,0.0,0.0,False
34,700.0,-85.0,220.0,0.4993119374760402,-0.01984009956776942,-3.338876570708606,0.0,0.0,0.0,False
35,700.0,85.0,0.0,0.8189081977122189,-0.026150873176313812,-3.22183735092226,0.0,0.0,0.0,False
36,700.0,85.0,220.0,0.5258466819535513,0.012778956124783391,-3.3628713695276526,0.0,0.0,0.0,False
37,800.0,-85.0,0.0,1.029582739655184,-0.04104995962239152,-2.75973924440231,0.0,0.0,0.0,False
38,800.0,-85.0,220.0,0.3561310118904456,-0.018343001407760816,-2.830199042781245,0.0,0.0,0.0,False
39,800.0,85.0,0.0,0.9785915468211102,-0.045491971309232576,-2.7826026586041595,0.0,0.0,0.0,False
40,800.0,85.0,220.0,0.37812045476660777,0.005894707241536687,-2.861268312367105,0.0,0.0,0.0,False
41,900.0,-85.0,0.0,1.168229284102277,-0.04989283656076888,-2.2628638977902806,0.0,0.0,0.0,False
42,900.0,-85.0,183.33333333333331,0.3889789560302652,-0.017305979865813885,-2.335277383436258,0.0,0.0,0.0,False
43,900.0,85.0,0.0,1.124064512985926,-0.05260765496723301,-2.3008772142700544,0.0,0.0,0.0,False
44,900.0,85.0,183.33333333333331,0.3969730506848879,0.007932010091106768,-2.3822277715716282,0.0,0.0,0.0,False
45,1000.0,-85.0,0.0,1.2818701822064762,-0.05199285190764314,-1.63688603538226,0.0,0.0,0.0,False
46,1000.0,-85.0,146.66666666666666,0.4859996372544999,-0.01890161306007182,-1.711483827543347,0.0,0.0,0.0,False
47,1000.0,85.0,0.0,1.2468242282553939,-0.052841188428679325,-1.6813402411986877,0.0,0.0,0.0,False
48,1000.0,85.0,146.66666666666666,0.4800104597132817,0.006422051069227419,-1.7658245388108695,0.0,0.0,0.0,False
49,1100.0,-85.0,0.0,1.3560572426507977,-0.044336759780593024,-0.8796899124720442,0.0,0.0,0.0,False
50,1100.0,-85.0,109.99999999999999,0.6552943936285778,-0.018034725976514676,-0.9557965503349899,0.0,0.0,0.0,False
51,1100.0,85.0,0.0,1.3297056857341403,-0.04167348403750014,-0.9141068679931317,0.0,0.0,0.0,False
52,1100.0,85.0,109.99999999999999,0.6389338142316177,0.003598092320798113,-1.0024458436352481,0.0,0.0,0.0,False
53,1200.0,-85.0,0.0,1.355913882611276,-0.01448742261167124,0.0,2.7284841053187847e-12,-2.1316282072803006e-14,200.59115176785826,True
54,1200.0,-85.0,73.33333333333331,0.9069360796436785,-0.005284924291247744,-0.07695824274654403,0.0,0.0,0.0,False
55,1200.0,85.0,0.0,1.3286974637094118,-0.007453927028070136,0.0,-2.2737367544323206e-13,-4.263256414560601e-14,240.70809823214222,True
56,1200.0,85.0,73.33333333333331,0.8906799574397904,0.007990405109501154,-0.09174957122438367,0.0,0.0,0.0,False
57,1300.0,-85.0,0.0,1.3559138826112758,0.0,0.6119521673894804,-9.094947017729282e-13,5.400124791776761e-13,0.0,False
58,1300.0,-85.0,73.33333333333331,0.9069934236594873,0.005846117289724532,0.6119778660039726,0.0,0.0,0.0,False
59,1300.0,85.0,0.0,1.3287333037192923,0.00020715525710850567,0.5976650870464655,1.7124079931818414e-12,-4.263256414560601e-14,0.0,False
60,1300.0,85.0,73.33333333333331,0.8905652694081732,0.005638962032615472,0.5976393884319734,0.0,0.0,0.0,False
