member_id,i,j,group,n_sticks,L_mm,A_mm2,Iy_mm4,Iz_mm4,Ky,Kz,N_N,sigma_axial_MPa,state
95,48,52,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-335.9299153531597,-6.398665054345899,compression
96,51,55,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,-2.54071950231582,-0.060493321483710005,compression
97,52,56,top_chord,5,106.51030205780306,52.5,1824.24375,2028.775,0.8,0.8,-228.1767474788677,-4.346223761502242,compression
98,55,59,bottom_chord,4,100.0,42.0,126.0,171.5,1.0,1.0,0.09031682489898607,0.0021504005928330017,tension
99,56,60,top_chord,5,100.0,52.5,1824.24375,2028.775,0.8,0.8,-0.36126729959447546,-0.006881281897037628,compression
100,3,4,vertical,3,73.33333333333333,31.5,53.15625,128.625,1.0,1.0,0.0784936400248409,0.0024918615880901874,tension
101,7,8,vertical,3,73.33333333333333,31.5,53.15625,128.625,1.0,1.0,-198.3410644700119,-6.296541729206727,compression
102,11,12,vertical,3,110.0,31.5,53.15625,128.625,1.0,1.0,-130.7672154174797,-4.151340171983482,compression
103,15,16,vertical,3,146.66666666666669,31.5,53.15625,128.625,1.0,1.0,-96.13092765802388,-3.051775481207107,compression
104,19,20,vertical,3,183.33333333333334,31.5,53.15625,128.625,1.0,1.0,-74.65268850539631,-2.3699266192189308,compression
105,23,24,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-60.53202089427555,-1.9216514569611285,compression
106,27,28,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-109.44123002763992,-3.47432476278222,compression
107,31,32,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-76.86741746560035,-2.440235475098424,compression
108,35,36,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-121.16104325645098,-3.8463823256016183,compression
109,39,40,vertical,3,220.0,31.5,53.15625,128.625,1.0,1.0,-67.58094800543958,-2.1454269208076058,compression
110,43,44,vertical,3,183.33333333333331,31.5,53.15625,128.625,1.0,1.0,-83.86502907271337,-2.662381875324234,compression
111,47,48,vertical,3,146.66666666666666,31.5,53.15625,128.625,1.0,1.0,-108.86953805933427,-3.4561758114074372,compression
112,51,52,vertical,3,109.99999999999999,31.5,53.15625,128.625,1.0,1.0,-151.78242178509103,-4.81848958047908,compression
113,55,56,vertical,3,73.33333333333331,31.5,53.15625,128.625,1.0,1.0,-236.4636676555707,-7.506783100176848,compression
114,59,60,vertical,3,73.33333333333331,31.5,53.15625,128.625,1.0,1.0,-0.06623233825915091,-0.0021026139129889177,compression
115,4,7,diagonal,3,124.0071682515885,31.5,53.15625,128.625,1.0,1.0,-0.17172829846289717,-0.005451692014695148,compression
116,4,7,chord_lacing,1,124.0071682515885,10.5,1.96875,42.875,1.0,1.0,-0.05724276615429906,-0.005451692014695149,compression
117,8,11,diagonal,3,124.0071682515885,31.5,53.15625,128.625,1.0,1.0,171.5145875196527,5.444907540306435,tension
118,8,11,chord_lacing,1,124.0071682515885,10.5,1.96875,42.875,1.0,1.0,57.17152917321757,5.444907540306436,tension
119,12,15,diagonal,3,148.66068747318505,31.5,53.15625,128.625,1.0,1.0,104.86898831592173,3.3291742322514835,tension
120,12,15,chord_lacing,1,148.66068747318505,10.5,1.96875,42.875,1.0,1.0,34.95632943864057,3.329174232251483,tension
121,16,19,diagonal,3,177.5136927425913,31.5,53.15625,128.625,1.0,1.0,75.85090931082189,2.4079653749467265,tension
122,16,19,chord_lacing,1,177.5136927425913,10.5,1.96875,42.875,1.0,1.0,25.283636436940633,2.407965374946727,tension
123,20,23,diagonal,3,208.8327347690278,31.5,53.15625,128.625,1.0,1.0,59.622837602983275,1.8927884953328025,tension
124,20,23,chord_lacing,1,208.8327347690278,10.5,1.96875,42.875,1.0,1.0,19.874279200994426,1.8927884953328025,tension
125,24,27,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,104.06915447275888,3.303782681674885,tension
126,24,27,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,34.68971815758629,3.303782681674885,tension
127,28,31,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,31.700330416003755,1.006359695746151,tension
128,28,31,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,10.566776805334586,1.006359695746151,tension
129,31,36,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,41.012063013351394,1.3019702543921077,tension
130,31,36,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,13.67068767111713,1.3019702543921077,tension
131,35,40,diagonal,3,241.66091947189145,31.5,53.15625,128.625,1.0,1.0,114.06801851800155,3.6212069370794144,tension
132,35,40,chord_lacing,1,241.66091947189145,10.5,1.96875,42.875,1.0,1.0,38.02267283933385,3.6212069370794144,tension
133,39,44,diagonal,3,208.83273476902778,31.5,53.15625,128.625,1.0,1.0,66.04739446706614,2.096742681494163,tension
134,39,44,chord_lacing,1,208.83273476902778,10.5,1.96875,42.875,1.0,1.0,22.015798155688714,2.096742681494163,tension
135,43,48,diagonal,3,177.5136927425913,31.5,53.15625,128.625,1.0,1.0,84.38415730564407,2.6788621366871133,tension
136,43,48,chord_lacing,1,177.5136927425913,10.5,1.96875,42.875,1.0,1.0,28.12805243521469,2.6788621366871133,tension
137,47,52,diagonal,3,148.66068747318505,31.5,53.15625,128.625,1.0,1.0,118.78215838436833,3.770862170932328,tension
138,47,52,chord_lacing,1,148.66068747318505,10.5,1.96875,42.875,1.0,1.0,39.59405279478944,3.7708621709323276,tension
139,51,56,diagonal,3,124.00716825158848,31.5,53.15625,128.625,1.0,1.0,201.60818508717284,6.400259844037233,tension
140,51,56,chord_lacing,1,124.00716825158848,10.5,1.96875,42.875,1.0,1.0,67.20272836239094,6.400259844037232,tension
141,55,60,diagonal,3,124.00716825158848,31.5,53.15625,128.625,1.0,1.0,0.16799900551778912,0.005333301762469496,tension
142,55,60,chord_lacing,1,124.00716825158848,10.5,1.96875,42.875,1.0,1.0,0.05599966850592971,0.005333301762469496,tension
143,1,3,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,0.0,0.0,tension
144,2,4,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-0.1319312685543459,-0.006282441359730757,compression
145,5,7,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,5.216111463182835,0.24838626015156356,tension
146,6,8,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,9.836311760512174,0.46839579811962734,tension
147,9,11,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,1.973229023424959,0.09396328682975995,tension
148,10,12,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,16.03446420652308,0.7635459145963371,tension
149,13,15,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-0.6293492830929086,-0.029969013480614697,compression
150,14,16,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,18.76988621627619,0.8938041055369614,tension
151,17,19,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-2.012469626118262,-0.09583188695801248,compression
152,18,20,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,18.706114422339056,0.8907673534447169,tension
153,21,23,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-3.2924677223507803,-0.15678417725479907,compression
154,22,24,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,17.96457252981818,0.8554558347532467,tension
155,25,27,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,2.2332372538026957,0.1063446311334617,tension
156,26,28,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,24.17655139963949,1.151264352363785,tension
157,29,31,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-2.3294810838971984,-0.11092767066177135,compression
158,30,32,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,19.936006852858306,0.9493336596599193,tension
159,33,35,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,2.2333120813148395,0.1063481943483257,tension
160,34,36,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,24.176476572127378,1.1512607891489228,tension
161,37,39,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-3.292314544364549,-0.15677688306497853,compression
162,38,40,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,17.964419351832266,0.8554485405634412,tension
163,41,43,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-2.012159524791064,-0.0958171202281459,compression
164,42,44,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,18.705804321011776,0.8907525867148465,tension
165,45,47,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-0.6287670685327015,-0.02994128897774769,compression
166,46,48,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,18.769304001715906,0.8937763810340907,tension
167,49,51,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,1.9739573154688443,0.0939979674032783,tension
168,50,52,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,16.03373591447889,0.7635112340228043,tension
169,53,55,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,5.213061432551406,0.248241020597686,tension
170,54,56,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,9.8393617911433,0.4685410376734905,tension
171,57,59,bottom_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,0.15353860232748068,0.007311362015594318,tension
172,58,60,top_transverse,2,170.0,21.0,15.75,85.75,1.0,1.0,-0.1535386023278917,-0.007311362015613891,compression
173,1,7,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-0.3641737294822922,-0.034683212331646875,compression
174,2,8,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,0.3641737294826103,0.03468321233167717,tension
175,5,11,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,5.724443940456469,0.5451851371863304,tension
176,6,12,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-5.822526506330321,-0.554526333936221,compression
177,9,15,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,10.589138854867006,1.0084894147492387,tension
178,10,16,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-10.77057305530366,-1.0257688624098722,compression
179,13,19,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,11.91749234530947,1.1349992709818542,tension
180,14,20,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-12.121686541316882,-1.1544463372682745,compression
181,17,23,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.11982243359797,1.1542688031998065,tension
182,18,24,top_bracing,1,200.61018031108102,10.5,1.96875,42.875,1.0,1.0,-12.327483351337298,-1.174046033460695,compression
183,21,27,bottom_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,12.542199189802565,1.1944951609335777,tension
184,22,28,top_bracing,1,197.2308292331602,10.5,1.96875,42.875,1.0,1.0,-12.542199189801837,-1.1944951609335082,compression
