
"P E A K   F R A M E   E L E M E N T   I N T E R N A L   F O R C E S    (local)",
 "Elmnt",  ".", "Nx", "Vy", "Vz",  "Txx", "Myy", "Mzz", 
    14, "min",   -385.123,       0.223,     -1.959,      0.076,    401.705,    -10.468
    15, "max",    365.972,      -0.006,      0.890,     -0.011,     75.688,     -0.437
    15, "min",    365.972,      -0.006,      0.890,     -0.011,    -13.331,     -1.072
    16, "max",   -385.123,      -0.223,      1.959,     -0.076,    597.590,     11.836
    16, "min",   -385.123,      -0.223,      1.959,     -0.076,    401.705,    -10.468
    17, "max",    320.580,       0.081,      0.711,      0.014,     36.075,      4.423
    17, "min",    320.580,       0.081,      0.711,      0.014,    -35.020,     -3.658
    18, "max",   -369.789,       0.066,      8.377,     -0.657,    450.970,      5.325
    18, "min",   -369.789,       0.066,      8.377,     -0.657,   -386.754,     -1.295
    19, "max",    286.721,       0.023,      0.125,      0.005,      5.484,      0.921
    19, "min",    286.721,       0.023,      0.125,      0.005,     -7.064,     -1.334
    20, "max",   -358.074,      -0.115,     -4.004,      0.330,    108.562,      5.316
    20, "min",   -358.074,      -0.115,     -4.004,      0.330,   -339.133,     -7.519
    21, "max",    238.332,       0.032,      0.480,     -0.002,     26.632,      1.439
    21, "min",    238.332,       0.032,      0.480,     -0.002,    -21.393,     -1.730
    22, "max",   -322.941,      -0.003,      0.985,     -0.026,    140.953,      2.722
    22, "min",   -322.941,      -0.003,      0.985,     -0.026,     30.771,      2.358
    23, "max",    156.653,       0.038,      0.141,     -0.021,     19.057,      1.426
    23, "min",    156.653,       0.038,      0.141,     -0.021,      4.959,     -2.352
    24, "max",   -268.690,      -0.068,     -0.122,     -0.136,     84.965,      6.110
    24, "min",   -268.690,      -0.068,     -0.122,     -0.136,     71.341,     -1.524
    25, "max",      0.901,       0.019,      2.456,     -0.051,     77.260,      2.156
    25, "min",      0.901,       0.019,      2.456,     -0.051,   -168.347,      0.218
    26, "max",   -179.471,      -0.057,      4.164,     -0.235,    147.717,      6.629
    26, "min",   -179.471,      -0.057,      4.164,     -0.235,   -317.888,      0.230
    27, "max",     -0.217,       0.035,      0.711,     -0.005,     57.124,      2.537
    27, "min",     -0.217,       0.035,      0.711,     -0.005,    -13.968,     -0.936
    28, "max",     -3.083,       0.059,     -2.651,      0.046,    -14.827,      6.867
    28, "min",     -3.083,       0.059,     -2.651,      0.046,   -279.970,      0.925
    29, "max",      0.930,       0.000,      0.290,     -0.013,     13.577,     -0.034
    29, "min",      0.930,       0.000,      0.290,     -0.013,    -15.401,     -0.071
    30, "max",   -238.348,      -0.034,      0.011,     -0.027,    -13.737,      1.747
    30, "min",   -238.348,      -0.034,      0.011,     -0.027,    -14.883,     -1.609
    31, "max",   -149.435,      -0.013,      0.466,     -0.033,     36.403,      1.419
    31, "min",   -149.435,      -0.013,      0.466,     -0.033,    -33.561,     -0.535
    32, "max",   -109.706,      -0.006,      0.172,     -0.013,     17.021,      1.082
    32, "min",   -109.706,      -0.006,      0.172,     -0.013,    -17.409,     -0.192
    33, "max",    -83.848,      -0.004,      0.102,     -0.006,     13.286,      0.861
    33, "min",    -83.848,      -0.004,      0.102,     -0.006,    -12.242,     -0.085
    34, "max",    -71.019,      -0.004,      0.120,     -0.006,     17.228,      1.018
    34, "min",    -71.019,      -0.004,      0.120,     -0.006,    -18.640,     -0.188
    35, "max",   -114.610,      -0.001,      0.146,     -0.008,     21.497,      0.195
    35, "min",   -114.610,      -0.001,      0.146,     -0.008,    -22.434,     -0.009
